iter	Logloss
0	0.6814842251
1	0.673710767
2	0.6643886073
3	0.6548867774
4	0.6456042627
5	0.6375421133
6	0.6289231431
7	0.6217156636
8	0.6139464673
9	0.6077596712
10	0.6009052608
11	0.5937833131
12	0.5877446473
13	0.5813371373
14	0.5763341512
15	0.5707597473
16	0.5663343216
17	0.5628719102
18	0.5583598948
19	0.5548796661
20	0.5502967162
21	0.5457135341
22	0.5416064321
23	0.5382911414
24	0.535200049
25	0.532628159
26	0.5299714423
27	0.5268571481
28	0.5240779626
29	0.5203975411
30	0.5177464101
31	0.5153132125
32	0.5122233593
33	0.5094988957
34	0.5074040453
35	0.5042401806
36	0.5017552455
37	0.4999636625
38	0.4977602314
39	0.4962115592
40	0.4945936852
41	0.4927459472
42	0.4913935656
43	0.4895185193
44	0.4882426813
45	0.4862721893
46	0.4845120991
47	0.4829695094
48	0.4814289387
49	0.4797796293
50	0.4783916708
51	0.4772591288
52	0.4754449866
53	0.4739255927
54	0.4725390611
55	0.4709103498
56	0.4694805847
57	0.46807617
58	0.4669356847
59	0.4658112903
60	0.4641217851
61	0.4628360827
62	0.4619420154
63	0.4609292427
64	0.4598397429
65	0.4584520594
66	0.4573688285
67	0.4563382171
68	0.4553265678
69	0.454367544
70	0.4531655975
71	0.45190661
72	0.4509294379
73	0.4500266278
74	0.4488377266
75	0.4475995574
76	0.4467756556
77	0.4456831712
78	0.4446465019
79	0.4437479058
80	0.4430315262
81	0.4421100847
82	0.4413674466
83	0.4404844781
84	0.4397546215
85	0.4389036419
86	0.4381959843
87	0.4373110731
88	0.436527436
89	0.4358847134
90	0.4349172658
91	0.4339526468
92	0.4330535995
93	0.4324098868
94	0.4316373363
95	0.4312799571
96	0.4301842326
97	0.4293116352
98	0.4286900386
99	0.4281313281
100	0.427623276
101	0.4269640715
102	0.4262034843
103	0.4254666389
104	0.4249066784
105	0.4243726494
106	0.423692171
107	0.4230084032
108	0.4226479968
109	0.4220008557
110	0.4212420247
111	0.4207755173
112	0.4201450014
113	0.4196563981
114	0.4189428952
115	0.4183733207
116	0.4178258079
117	0.4172707429
118	0.4168729149
119	0.4164539811
120	0.4160057871
121	0.415287345
122	0.4147620982
123	0.4144407842
124	0.4141524944
125	0.4137472757
126	0.4130529875
127	0.4128529178
128	0.4124914588
129	0.4121583464
130	0.4116552086
131	0.4112034994
132	0.4107860466
133	0.4104560958
134	0.4101563477
135	0.4095245181
136	0.4092297646
137	0.4086215706
138	0.4080419036
139	0.4076396486
140	0.4073630817
141	0.4066903493
142	0.4061485661
143	0.4058785708
144	0.4053458234
145	0.404843214
146	0.4043231246
147	0.4040448363
148	0.4035787546
149	0.403319143
150	0.4028821516
151	0.4025871565
152	0.4024682842
153	0.4021578941
154	0.4016179559
155	0.4014081588
156	0.4011988112
157	0.4009721482
158	0.400482846
159	0.4001946515
160	0.3997918142
161	0.3994401462
162	0.3990883401
163	0.3986182896
164	0.3980721216
165	0.3976725337
166	0.3973785299
167	0.3970532023
168	0.3968467785
169	0.3964863034
170	0.396262984
171	0.3957594289
172	0.3954376044
173	0.3952321752
174	0.3948065235
175	0.3944893825
176	0.3942325569
177	0.3940051173
178	0.3936393516
179	0.3932376362
180	0.3928960409
181	0.3926637813
182	0.3924777599
183	0.3922275315
184	0.3918845523
185	0.3916243809
186	0.3912155977
187	0.3910214109
188	0.390825723
189	0.3904707392
190	0.3902293741
191	0.389854046
192	0.3895290986
193	0.3892771078
194	0.3890066292
195	0.3886925325
196	0.3885032802
197	0.3882627818
198	0.3881255106
199	0.3878515536
200	0.3875188277
201	0.3872195038
202	0.3870698225
203	0.386739975
204	0.3864345598
205	0.3860413543
206	0.3858281894
207	0.3856714726
208	0.3853963158
209	0.3851595166
210	0.3848794699
211	0.384678413
212	0.3843114576
213	0.3841234545
214	0.3839044864
215	0.3837454594
216	0.3835792484
217	0.3834045056
218	0.3832316683
219	0.3829877717
220	0.382774777
221	0.3826398763
222	0.3824206624
223	0.382084798
224	0.3818233988
225	0.3815466724
226	0.3813075083
227	0.3809859746
228	0.3807254208
229	0.3805465991
230	0.3803964209
231	0.3800473201
232	0.3797910705
233	0.3796161226
234	0.3794284097
235	0.3790787295
236	0.3787906754
237	0.3786236615
238	0.3784124331
239	0.3782814405
240	0.3780433688
241	0.3778318403
242	0.377623483
243	0.3773610628
244	0.3770691534
245	0.376919354
246	0.3767327565
247	0.3766155903
248	0.3761391669
249	0.3759665479
250	0.3758847645
251	0.375687005
252	0.3754570425
253	0.3753618503
254	0.3751847565
255	0.3749604782
256	0.3747798228
257	0.3745865942
258	0.3743936312
259	0.3741476701
260	0.3739386022
261	0.3735131009
262	0.3733708504
263	0.3732157431
264	0.3731107948
265	0.3729414714
266	0.3724919783
267	0.3722332398
268	0.3720380635
269	0.3718085917
270	0.3716153408
271	0.3714482408
272	0.3711778279
273	0.3710964524
274	0.3709498871
275	0.3708109387
276	0.3706677638
277	0.3704977231
278	0.3703390603
279	0.3700680226
280	0.3698705757
281	0.3696992563
282	0.3694959616
283	0.3692098469
284	0.3690014559
285	0.3689113693
286	0.3687716732
287	0.3686051307
288	0.3683330278
289	0.3681235513
290	0.3679835088
291	0.3678338297
292	0.3677131748
293	0.3674163332
294	0.3673029805
295	0.3670128324
296	0.3668260812
297	0.3666727064
298	0.3664494086
299	0.366353646
300	0.3662768069
301	0.3661018576
302	0.3659334537
303	0.3658020282
304	0.3656137425
305	0.3654405438
306	0.3652480349
307	0.3650813062
308	0.3649634107
309	0.3647832552
310	0.3646032144
311	0.3644245632
312	0.3642523402
313	0.3640215144
314	0.363761032
315	0.3634070043
316	0.3632303583
317	0.3629819843
318	0.3628187919
319	0.3625131796
320	0.3622027324
321	0.3620000902
322	0.3618197005
323	0.3615767751
324	0.3613538494
325	0.3612589487
326	0.360990034
327	0.3608045626
328	0.360624805
329	0.3605232265
330	0.3604220964
331	0.360309466
332	0.3601846318
333	0.360073904
334	0.3599050244
335	0.3597045898
336	0.3596099752
337	0.3594965125
338	0.3593325736
339	0.3591847064
340	0.3590483829
341	0.3589702134
342	0.3588453884
343	0.3587243028
344	0.3585634555
345	0.3584398441
346	0.358198233
347	0.3580101926
348	0.3578207151
349	0.3576369743
350	0.3574982141
351	0.3571627055
352	0.3570134235
353	0.3568474728
354	0.3566292516
355	0.3563825292
356	0.3561311902
357	0.3560032652
358	0.3557297836
359	0.3555589851
360	0.3554049958
361	0.3552318352
362	0.3550663059
363	0.3549420498
